# DM3 live routing snapshot - 2026-08-28 - firmware V3.00 - 192.168.128.9
# Read-only, via tools/rcp-probe.js. See PLAN.md 2.2-2.4.

OK get MIXER:Current/InCh/ToMix/On 0 0 1
OK get MIXER:Current/InCh/ToMix/On 0 1 0
OK get MIXER:Current/InCh/ToMix/On 0 2 0
OK get MIXER:Current/InCh/ToMix/On 0 3 0
OK get MIXER:Current/InCh/ToMix/On 0 4 0
OK get MIXER:Current/InCh/ToMix/On 0 5 0
OK get MIXER:Current/InCh/ToSt/On 0 0 1
OK get MIXER:Current/InCh/Fader/On 0 0 0
OK get MIXER:Current/InCh/ToMix/On 1 0 1
OK get MIXER:Current/InCh/ToMix/On 1 1 0
OK get MIXER:Current/InCh/ToMix/On 1 2 0
OK get MIXER:Current/InCh/ToMix/On 1 3 0
OK get MIXER:Current/InCh/ToMix/On 1 4 0
OK get MIXER:Current/InCh/ToMix/On 1 5 0
OK get MIXER:Current/InCh/ToSt/On 1 0 1
OK get MIXER:Current/InCh/Fader/On 1 0 0
OK get MIXER:Current/InCh/ToMix/On 2 0 0
OK get MIXER:Current/InCh/ToMix/On 2 1 0
OK get MIXER:Current/InCh/ToMix/On 2 2 1
OK get MIXER:Current/InCh/ToMix/On 2 3 0
OK get MIXER:Current/InCh/ToMix/On 2 4 1
OK get MIXER:Current/InCh/ToMix/On 2 5 1
OK get MIXER:Current/InCh/ToSt/On 2 0 0
OK get MIXER:Current/InCh/Fader/On 2 0 0
OK get MIXER:Current/InCh/ToMix/On 3 0 0
OK get MIXER:Current/InCh/ToMix/On 3 1 0
OK get MIXER:Current/InCh/ToMix/On 3 2 0
OK get MIXER:Current/InCh/ToMix/On 3 3 1
OK get MIXER:Current/InCh/ToMix/On 3 4 0
OK get MIXER:Current/InCh/ToMix/On 3 5 0
OK get MIXER:Current/InCh/ToSt/On 3 0 0
OK get MIXER:Current/InCh/Fader/On 3 0 0
OK get MIXER:Current/InCh/ToMix/On 4 0 1
OK get MIXER:Current/InCh/ToMix/On 4 1 0
OK get MIXER:Current/InCh/ToMix/On 4 2 0
OK get MIXER:Current/InCh/ToMix/On 4 3 0
OK get MIXER:Current/InCh/ToMix/On 4 4 1
OK get MIXER:Current/InCh/ToMix/On 4 5 1
OK get MIXER:Current/InCh/ToSt/On 4 0 1
OK get MIXER:Current/InCh/Fader/On 4 0 0
OK get MIXER:Current/InCh/ToMix/On 5 0 1
OK get MIXER:Current/InCh/ToMix/On 5 1 0
OK get MIXER:Current/InCh/ToMix/On 5 2 0
OK get MIXER:Current/InCh/ToMix/On 5 3 0
OK get MIXER:Current/InCh/ToMix/On 5 4 1
OK get MIXER:Current/InCh/ToMix/On 5 5 1
OK get MIXER:Current/InCh/ToSt/On 5 0 1
OK get MIXER:Current/InCh/Fader/On 5 0 0
OK get MIXER:Current/InCh/ToMix/On 6 0 1
OK get MIXER:Current/InCh/ToMix/On 6 1 1
OK get MIXER:Current/InCh/ToMix/On 6 2 1
OK get MIXER:Current/InCh/ToMix/On 6 3 1
OK get MIXER:Current/InCh/ToMix/On 6 4 1
OK get MIXER:Current/InCh/ToMix/On 6 5 1
OK get MIXER:Current/InCh/ToSt/On 6 0 0
OK get MIXER:Current/InCh/Fader/On 6 0 1
OK get MIXER:Current/InCh/ToMix/On 7 0 1
OK get MIXER:Current/InCh/ToMix/On 7 1 1
OK get MIXER:Current/InCh/ToMix/On 7 2 1
OK get MIXER:Current/InCh/ToMix/On 7 3 1
OK get MIXER:Current/InCh/ToMix/On 7 4 1
OK get MIXER:Current/InCh/ToMix/On 7 5 1
OK get MIXER:Current/InCh/ToSt/On 7 0 0
OK get MIXER:Current/InCh/Fader/On 7 0 1
OK get MIXER:Current/InCh/ToMix/On 8 0 0
OK get MIXER:Current/InCh/ToMix/On 8 1 1
OK get MIXER:Current/InCh/ToMix/On 8 2 0
OK get MIXER:Current/InCh/ToMix/On 8 3 0
OK get MIXER:Current/InCh/ToMix/On 8 4 1
OK get MIXER:Current/InCh/ToMix/On 8 5 1
OK get MIXER:Current/InCh/ToSt/On 8 0 1
OK get MIXER:Current/InCh/Fader/On 8 0 0
OK get MIXER:Current/InCh/ToMix/On 9 0 0
OK get MIXER:Current/InCh/ToMix/On 9 1 0
OK get MIXER:Current/InCh/ToMix/On 9 2 0
OK get MIXER:Current/InCh/ToMix/On 9 3 1
OK get MIXER:Current/InCh/ToMix/On 9 4 1
OK get MIXER:Current/InCh/ToMix/On 9 5 1
OK get MIXER:Current/InCh/ToSt/On 9 0 1
OK get MIXER:Current/InCh/Fader/On 9 0 0
